"id_ubicacion","cant_votantes","cant_votos_positivos","cant_votos_negativos","porcentaje_participacion","id_candidatura","descripcion_candidatura","cant_votos"
"HN.5.1.1.38.3621_PRE",156,145,11,52.1739,"58","UNIDAD NACIONAL OPOSITORA DE HONDURAS",0
"HN.5.1.1.38.3621_PRE",156,145,11,52.1739,"6","PARTIDO ANTICORRUPCION",0
"HN.5.1.1.38.3621_PRE",156,145,11,52.1739,"7","PARTIDO LIBERTAD Y REFUNDACION",60
"HN.5.1.1.38.3621_PRE",156,145,11,52.1739,"8","PARTIDO ALIANZA PATRIOTICA HONDUREÑA",1
"HN.5.1.1.38.3621_PRE",156,145,11,52.1739,"9","PARTIDO FRENTE AMPLIO (EL FRENTE)",0
"HN.5.1.1.38.3621_PRE",156,145,11,52.1739,"BLC","Voto en BLANCO",8
"HN.5.1.1.38.3621_PRE",156,145,11,52.1739,"NUL","Votos NULOS",11
"HN.5.1.1.38.3625_PRE",174,172,2,58.1939,"1","PARTIDO LIBERAL DE HONDURAS",10
"HN.5.1.1.38.3625_PRE",174,172,2,58.1939,"10","PARTIDO DE CENTRO SOCIAL CRISTIANO VA; MOVIMIENTO SOLIDARIO",0
"HN.5.1.1.38.3625_PRE",174,172,2,58.1939,"11","PARTIDO NUEVA RUTA DE HONDURAS",1
"HN.5.1.1.38.3625_PRE",174,172,2,58.1939,"13","PARTIDO LIBERACION DEMOCRATICO DE HONDURAS",0
"HN.5.1.1.38.3625_PRE",174,172,2,58.1939,"14","PARTIDO TODOS SOMOS HONDURAS",0
"HN.5.1.1.38.3625_PRE",174,172,2,58.1939,"2","PARTIDO NACIONAL DE HONDURAS",51
"HN.5.1.1.38.3625_PRE",174,172,2,58.1939,"4","PARTIDO DEMOCRATA CRISTIANO DE HONDURAS",0
"HN.5.1.1.38.3625_PRE",174,172,2,58.1939,"45","MOVIMIENTO INDEPENDIENTE DIGNIDAD Y ESPERANZA",0
"HN.5.1.1.38.3625_PRE",174,172,2,58.1939,"47","MILTON BENITEZ HONDURAS HUMANA",1
"HN.5.1.1.38.3625_PRE",174,172,2,58.1939,"5","PARTIDO UNIFICACION DEMOCRATICA",0
"HN.5.1.1.38.3625_PRE",174,172,2,58.1939,"58","UNIDAD NACIONAL OPOSITORA DE HONDURAS",0
"HN.5.1.1.38.3625_PRE",174,172,2,58.1939,"6","PARTIDO ANTICORRUPCION",0
"HN.5.1.1.38.3625_PRE",174,172,2,58.1939,"7","PARTIDO LIBERTAD Y REFUNDACION",108
"HN.5.1.1.38.3625_PRE",174,172,2,58.1939,"8","PARTIDO ALIANZA PATRIOTICA HONDUREÑA",1
"HN.5.1.1.38.3625_PRE",174,172,2,58.1939,"9","PARTIDO FRENTE AMPLIO (EL FRENTE)",0
"HN.5.1.1.38.3625_PRE",174,172,2,58.1939,"BLC","Voto en BLANCO",0
"HN.5.1.1.38.3625_PRE",174,172,2,58.1939,"NUL","Votos NULOS",2
"HN.5.1.1.38.3626_PRE",172,158,14,57.525,"1","PARTIDO LIBERAL DE HONDURAS",12
"HN.5.1.1.38.3626_PRE",172,158,14,57.525,"10","PARTIDO DE CENTRO SOCIAL CRISTIANO VA; MOVIMIENTO SOLIDARIO",0
"HN.5.1.1.38.3626_PRE",172,158,14,57.525,"11","PARTIDO NUEVA RUTA DE HONDURAS",0
"HN.5.1.1.38.3626_PRE",172,158,14,57.525,"13","PARTIDO LIBERACION DEMOCRATICO DE HONDURAS",0
"HN.5.1.1.38.3626_PRE",172,158,14,57.525,"14","PARTIDO TODOS SOMOS HONDURAS",1
"HN.5.1.1.38.3626_PRE",172,158,14,57.525,"2","PARTIDO NACIONAL DE HONDURAS",47
"HN.5.1.1.38.3626_PRE",172,158,14,57.525,"4","PARTIDO DEMOCRATA CRISTIANO DE HONDURAS",1
"HN.5.1.1.38.3626_PRE",172,158,14,57.525,"45","MOVIMIENTO INDEPENDIENTE DIGNIDAD Y ESPERANZA",0
"HN.5.1.1.38.3626_PRE",172,158,14,57.525,"47","MILTON BENITEZ HONDURAS HUMANA",1
"HN.5.1.1.38.3626_PRE",172,158,14,57.525,"5","PARTIDO UNIFICACION DEMOCRATICA",0
"HN.5.1.1.38.3626_PRE",172,158,14,57.525,"58","UNIDAD NACIONAL OPOSITORA DE HONDURAS",0
"HN.5.1.1.38.3626_PRE",172,158,14,57.525,"6","PARTIDO ANTICORRUPCION",2
"HN.5.1.1.38.3626_PRE",172,158,14,57.525,"7","PARTIDO LIBERTAD Y REFUNDACION",91
"HN.5.1.1.38.3626_PRE",172,158,14,57.525,"8","PARTIDO ALIANZA PATRIOTICA HONDUREÑA",0
"HN.5.1.1.38.3626_PRE",172,158,14,57.525,"9","PARTIDO FRENTE AMPLIO (EL FRENTE)",0
"HN.5.1.1.38.3626_PRE",172,158,14,57.525,"BLC","Voto en BLANCO",3
"HN.5.1.1.38.3626_PRE",172,158,14,57.525,"NUL","Votos NULOS",14
"HN.5.1.1.38.3627_PRE",177,161,16,59.1973,"1","PARTIDO LIBERAL DE HONDURAS",8
"HN.5.1.1.38.3627_PRE",177,161,16,59.1973,"10","PARTIDO DE CENTRO SOCIAL CRISTIANO VA; MOVIMIENTO SOLIDARIO",1
"HN.5.1.1.38.3627_PRE",177,161,16,59.1973,"11","PARTIDO NUEVA RUTA DE HONDURAS",1
"HN.5.1.1.38.3627_PRE",177,161,16,59.1973,"13","PARTIDO LIBERACION DEMOCRATICO DE HONDURAS",0
"HN.5.1.1.38.3627_PRE",177,161,16,59.1973,"14","PARTIDO TODOS SOMOS HONDURAS",0
"HN.5.1.1.38.3627_PRE",177,161,16,59.1973,"2","PARTIDO NACIONAL DE HONDURAS",56
"HN.5.1.1.38.3627_PRE",177,161,16,59.1973,"4","PARTIDO DEMOCRATA CRISTIANO DE HONDURAS",1
"HN.5.1.1.38.3627_PRE",177,161,16,59.1973,"45","MOVIMIENTO INDEPENDIENTE DIGNIDAD Y ESPERANZA",0
"HN.5.1.1.38.3627_PRE",177,161,16,59.1973,"47","MILTON BENITEZ HONDURAS HUMANA",0
"HN.5.1.1.38.3627_PRE",177,161,16,59.1973,"5","PARTIDO UNIFICACION DEMOCRATICA",0
"HN.5.1.1.38.3627_PRE",177,161,16,59.1973,"58","UNIDAD NACIONAL OPOSITORA DE HONDURAS",0
"HN.5.1.1.38.3627_PRE",177,161,16,59.1973,"6","PARTIDO ANTICORRUPCION",0
"HN.5.1.1.38.3627_PRE",177,161,16,59.1973,"7","PARTIDO LIBERTAD Y REFUNDACION",93
"HN.5.1.1.38.3627_PRE",177,161,16,59.1973,"8","PARTIDO ALIANZA PATRIOTICA HONDUREÑA",0
"HN.5.1.1.38.3627_PRE",177,161,16,59.1973,"9","PARTIDO FRENTE AMPLIO (EL FRENTE)",0
"HN.5.1.1.38.3627_PRE",177,161,16,59.1973,"BLC","Voto en BLANCO",1
"HN.5.1.1.38.3627_PRE",177,161,16,59.1973,"NUL","Votos NULOS",16
"HN.5.1.1.38.3628_PRE",175,163,12,58.7248,"1","PARTIDO LIBERAL DE HONDURAS",12
"HN.5.1.1.38.3628_PRE",175,163,12,58.7248,"10","PARTIDO DE CENTRO SOCIAL CRISTIANO VA; MOVIMIENTO SOLIDARIO",0
"HN.5.1.1.38.3628_PRE",175,163,12,58.7248,"11","PARTIDO NUEVA RUTA DE HONDURAS",0
"HN.5.1.1.38.3628_PRE",175,163,12,58.7248,"13","PARTIDO LIBERACION DEMOCRATICO DE HONDURAS",1
"HN.5.1.1.38.3628_PRE",175,163,12,58.7248,"14","PARTIDO TODOS SOMOS HONDURAS",0
"HN.5.1.1.38.3628_PRE",175,163,12,58.7248,"2","PARTIDO NACIONAL DE HONDURAS",49
"HN.5.1.1.38.3628_PRE",175,163,12,58.7248,"4","PARTIDO DEMOCRATA CRISTIANO DE HONDURAS",0
"HN.5.1.1.38.3628_PRE",175,163,12,58.7248,"45","MOVIMIENTO INDEPENDIENTE DIGNIDAD Y ESPERANZA",0
"HN.5.1.1.38.3628_PRE",175,163,12,58.7248,"47","MILTON BENITEZ HONDURAS HUMANA",0
"HN.5.1.1.38.3628_PRE",175,163,12,58.7248,"5","PARTIDO UNIFICACION DEMOCRATICA",0
"HN.5.1.1.38.3628_PRE",175,163,12,58.7248,"58","UNIDAD NACIONAL OPOSITORA DE HONDURAS",0
"HN.5.1.1.38.3628_PRE",175,163,12,58.7248,"6","PARTIDO ANTICORRUPCION",0
"HN.5.1.1.38.3628_PRE",175,163,12,58.7248,"7","PARTIDO LIBERTAD Y REFUNDACION",95
"HN.5.1.1.38.3628_PRE",175,163,12,58.7248,"8","PARTIDO ALIANZA PATRIOTICA HONDUREÑA",0
"HN.5.1.1.38.3628_PRE",175,163,12,58.7248,"9","PARTIDO FRENTE AMPLIO (EL FRENTE)",1
"HN.5.1.1.38.3628_PRE",175,163,12,58.7248,"BLC","Voto en BLANCO",5
"HN.5.1.1.38.3628_PRE",175,163,12,58.7248,"NUL","Votos NULOS",12
"HN.5.1.1.38.3629_PRE",169,159,10,56.7114,"1","PARTIDO LIBERAL DE HONDURAS",9
"HN.5.1.1.38.3629_PRE",169,159,10,56.7114,"10","PARTIDO DE CENTRO SOCIAL CRISTIANO VA; MOVIMIENTO SOLIDARIO",0
"HN.5.1.1.38.3629_PRE",169,159,10,56.7114,"11","PARTIDO NUEVA RUTA DE HONDURAS",0
"HN.5.1.1.38.3629_PRE",169,159,10,56.7114,"13","PARTIDO LIBERACION DEMOCRATICO DE HONDURAS",0
"HN.5.1.1.38.3629_PRE",169,159,10,56.7114,"14","PARTIDO TODOS SOMOS HONDURAS",0
"HN.5.1.1.38.3629_PRE",169,159,10,56.7114,"2","PARTIDO NACIONAL DE HONDURAS",52
"HN.5.1.1.38.3629_PRE",169,159,10,56.7114,"4","PARTIDO DEMOCRATA CRISTIANO DE HONDURAS",2
"HN.5.1.1.38.3629_PRE",169,159,10,56.7114,"45","MOVIMIENTO INDEPENDIENTE DIGNIDAD Y ESPERANZA",0
"HN.5.1.1.38.3629_PRE",169,159,10,56.7114,"47","MILTON BENITEZ HONDURAS HUMANA",0
"HN.5.1.1.38.3629_PRE",169,159,10,56.7114,"5","PARTIDO UNIFICACION DEMOCRATICA",0
"HN.5.1.1.38.3629_PRE",169,159,10,56.7114,"58","UNIDAD NACIONAL OPOSITORA DE HONDURAS",0
"HN.5.1.1.38.3629_PRE",169,159,10,56.7114,"6","PARTIDO ANTICORRUPCION",0
"HN.5.1.1.38.3629_PRE",169,159,10,56.7114,"7","PARTIDO LIBERTAD Y REFUNDACION",94
"HN.5.1.1.38.3629_PRE",169,159,10,56.7114,"8","PARTIDO ALIANZA PATRIOTICA HONDUREÑA",2
"HN.5.1.1.38.3629_PRE",169,159,10,56.7114,"9","PARTIDO FRENTE AMPLIO (EL FRENTE)",0
"HN.5.1.1.38.3629_PRE",169,159,10,56.7114,"BLC","Voto en BLANCO",0
"HN.5.1.1.38.3629_PRE",169,159,10,56.7114,"NUL","Votos NULOS",10
"HN.5.1.1.254.4518_PRE",151,144,7,50.1661,"1","PARTIDO LIBERAL DE HONDURAS",11
"HN.5.1.1.254.4518_PRE",151,144,7,50.1661,"10","PARTIDO DE CENTRO SOCIAL CRISTIANO VA; MOVIMIENTO SOLIDARIO",1
"HN.5.1.1.254.4518_PRE",151,144,7,50.1661,"11","PARTIDO NUEVA RUTA DE HONDURAS",1
"HN.5.1.1.254.4518_PRE",151,144,7,50.1661,"13","PARTIDO LIBERACION DEMOCRATICO DE HONDURAS",1
"HN.5.1.1.254.4518_PRE",151,144,7,50.1661,"14","PARTIDO TODOS SOMOS HONDURAS",0
"HN.5.1.1.254.4518_PRE",151,144,7,50.1661,"2","PARTIDO NACIONAL DE HONDURAS",27
"HN.5.1.1.254.4518_PRE",151,144,7,50.1661,"4","PARTIDO DEMOCRATA CRISTIANO DE HONDURAS",0
"HN.5.1.1.254.4518_PRE",151,144,7,50.1661,"45","MOVIMIENTO INDEPENDIENTE DIGNIDAD Y ESPERANZA",0
"HN.5.1.1.254.4518_PRE",151,144,7,50.1661,"47","MILTON BENITEZ HONDURAS HUMANA",1
"HN.5.1.1.254.4518_PRE",151,144,7,50.1661,"5","PARTIDO UNIFICACION DEMOCRATICA",0
"HN.5.1.1.254.4518_PRE",151,144,7,50.1661,"58","UNIDAD NACIONAL OPOSITORA DE HONDURAS",1
"HN.5.1.1.254.4518_PRE",151,144,7,50.1661,"6","PARTIDO ANTICORRUPCION",0
"HN.5.1.1.254.4518_PRE",151,144,7,50.1661,"7","PARTIDO LIBERTAD Y REFUNDACION",98
"HN.5.1.1.254.4518_PRE",151,144,7,50.1661,"8","PARTIDO ALIANZA PATRIOTICA HONDUREÑA",2
"HN.5.1.1.254.4518_PRE",151,144,7,50.1661,"9","PARTIDO FRENTE AMPLIO (EL FRENTE)",0
"HN.5.1.1.254.4518_PRE",151,144,7,50.1661,"BLC","Voto en BLANCO",1
"HN.5.1.1.254.4518_PRE",151,144,7,50.1661,"NUL","Votos NULOS",7
"HN.5.1.1.254.4520_PRE",158,151,7,52.4916,"1","PARTIDO LIBERAL DE HONDURAS",16
"HN.5.1.1.254.4520_PRE",158,151,7,52.4916,"10","PARTIDO DE CENTRO SOCIAL CRISTIANO VA; MOVIMIENTO SOLIDARIO",0
"HN.5.1.1.254.4520_PRE",158,151,7,52.4916,"11","PARTIDO NUEVA RUTA DE HONDURAS",0
"HN.5.1.1.254.4520_PRE",158,151,7,52.4916,"13","PARTIDO LIBERACION DEMOCRATICO DE HONDURAS",0
"HN.5.1.1.254.4520_PRE",158,151,7,52.4916,"14","PARTIDO TODOS SOMOS HONDURAS",0
"HN.5.1.1.254.4520_PRE",158,151,7,52.4916,"2","PARTIDO NACIONAL DE HONDURAS",28
"HN.5.1.1.254.4520_PRE",158,151,7,52.4916,"4","PARTIDO DEMOCRATA CRISTIANO DE HONDURAS",0
"HN.5.1.1.254.4520_PRE",158,151,7,52.4916,"45","MOVIMIENTO INDEPENDIENTE DIGNIDAD Y ESPERANZA",0
"HN.5.1.1.254.4520_PRE",158,151,7,52.4916,"47","MILTON BENITEZ HONDURAS HUMANA",0
"HN.5.1.1.254.4520_PRE",158,151,7,52.4916,"5","PARTIDO UNIFICACION DEMOCRATICA",1
"HN.5.1.1.254.4520_PRE",158,151,7,52.4916,"58","UNIDAD NACIONAL OPOSITORA DE HONDURAS",0
"HN.5.1.1.254.4520_PRE",158,151,7,52.4916,"6","PARTIDO ANTICORRUPCION",1
"HN.5.1.1.254.4520_PRE",158,151,7,52.4916,"7","PARTIDO LIBERTAD Y REFUNDACION",101
"HN.5.1.1.254.4520_PRE",158,151,7,52.4916,"8","PARTIDO ALIANZA PATRIOTICA HONDUREÑA",0
"HN.5.1.1.254.4520_PRE",158,151,7,52.4916,"9","PARTIDO FRENTE AMPLIO (EL FRENTE)",0
"HN.5.1.1.254.4520_PRE",158,151,7,52.4916,"BLC","Voto en BLANCO",4
"HN.5.1.1.254.4520_PRE",158,151,7,52.4916,"NUL","Votos NULOS",7
"HN.5.1.1.254.4521_PRE",131,126,5,43.5215,"1","PARTIDO LIBERAL DE HONDURAS",14
"HN.5.1.1.254.4521_PRE",131,126,5,43.5215,"10","PARTIDO DE CENTRO SOCIAL CRISTIANO VA; MOVIMIENTO SOLIDARIO",0
"HN.5.1.1.254.4521_PRE",131,126,5,43.5215,"11","PARTIDO NUEVA RUTA DE HONDURAS",0
"HN.5.1.1.254.4521_PRE",131,126,5,43.5215,"13","PARTIDO LIBERACION DEMOCRATICO DE HONDURAS",0
"HN.5.1.1.254.4521_PRE",131,126,5,43.5215,"14","PARTIDO TODOS SOMOS HONDURAS",0
"HN.5.1.1.254.4521_PRE",131,126,5,43.5215,"2","PARTIDO NACIONAL DE HONDURAS",30
"HN.5.1.1.254.4521_PRE",131,126,5,43.5215,"4","PARTIDO DEMOCRATA CRISTIANO DE HONDURAS",0
"HN.5.1.1.254.4521_PRE",131,126,5,43.5215,"45","MOVIMIENTO INDEPENDIENTE DIGNIDAD Y ESPERANZA",0
"HN.5.1.1.254.4521_PRE",131,126,5,43.5215,"47","MILTON BENITEZ HONDURAS HUMANA",1
"HN.5.1.1.254.4521_PRE",131,126,5,43.5215,"5","PARTIDO UNIFICACION DEMOCRATICA",0
"HN.5.1.1.254.4521_PRE",131,126,5,43.5215,"58","UNIDAD NACIONAL OPOSITORA DE HONDURAS",0
"HN.5.1.1.254.4521_PRE",131,126,5,43.5215,"6","PARTIDO ANTICORRUPCION",0
"HN.5.1.1.254.4521_PRE",131,126,5,43.5215,"7","PARTIDO LIBERTAD Y REFUNDACION",80
"HN.5.1.1.254.4521_PRE",131,126,5,43.5215,"8","PARTIDO ALIANZA PATRIOTICA HONDUREÑA",0
"HN.5.1.1.254.4521_PRE",131,126,5,43.5215,"9","PARTIDO FRENTE AMPLIO (EL FRENTE)",1
"HN.5.1.1.254.4521_PRE",131,126,5,43.5215,"BLC","Voto en BLANCO",0
"HN.5.1.1.254.4521_PRE",131,126,5,43.5215,"NUL","Votos NULOS",5
"HN.5.1.1.254.4523_PRE",151,147,4,50.1661,"1","PARTIDO LIBERAL DE HONDURAS",17
"HN.5.1.1.254.4523_PRE",151,147,4,50.1661,"10","PARTIDO DE CENTRO SOCIAL CRISTIANO VA; MOVIMIENTO SOLIDARIO",0
"HN.5.1.1.254.4523_PRE",151,147,4,50.1661,"11","PARTIDO NUEVA RUTA DE HONDURAS",0
"HN.5.1.1.254.4523_PRE",151,147,4,50.1661,"13","PARTIDO LIBERACION DEMOCRATICO DE HONDURAS",0
"HN.5.1.1.254.4523_PRE",151,147,4,50.1661,"14","PARTIDO TODOS SOMOS HONDURAS",0
"HN.5.1.1.254.4523_PRE",151,147,4,50.1661,"2","PARTIDO NACIONAL DE HONDURAS",36
"HN.5.1.1.254.4523_PRE",151,147,4,50.1661,"4","PARTIDO DEMOCRATA CRISTIANO DE HONDURAS",0
"HN.5.1.1.254.4523_PRE",151,147,4,50.1661,"45","MOVIMIENTO INDEPENDIENTE DIGNIDAD Y ESPERANZA",0
"HN.5.1.1.254.4523_PRE",151,147,4,50.1661,"47","MILTON BENITEZ HONDURAS HUMANA",0
"HN.5.1.1.254.4523_PRE",151,147,4,50.1661,"5","PARTIDO UNIFICACION DEMOCRATICA",0
"HN.5.1.1.254.4523_PRE",151,147,4,50.1661,"58","UNIDAD NACIONAL OPOSITORA DE HONDURAS",0
"HN.5.1.1.254.4523_PRE",151,147,4,50.1661,"6","PARTIDO ANTICORRUPCION",0
"HN.5.1.1.254.4523_PRE",151,147,4,50.1661,"7","PARTIDO LIBERTAD Y REFUNDACION",90
"HN.5.1.1.254.4523_PRE",151,147,4,50.1661,"8","PARTIDO ALIANZA PATRIOTICA HONDUREÑA",0
"HN.5.1.1.254.4523_PRE",151,147,4,50.1661,"9","PARTIDO FRENTE AMPLIO (EL FRENTE)",0
"HN.5.1.1.254.4523_PRE",151,147,4,50.1661,"BLC","Voto en BLANCO",4
"HN.5.1.1.254.4523_PRE",151,147,4,50.1661,"NUL","Votos NULOS",4
"HN.5.1.1.254.4525_PRE",142,134,8,47.176,"1","PARTIDO LIBERAL DE HONDURAS",18
"HN.5.1.1.254.4525_PRE",142,134,8,47.176,"10","PARTIDO DE CENTRO SOCIAL CRISTIANO VA; MOVIMIENTO SOLIDARIO",0
"HN.5.1.1.254.4525_PRE",142,134,8,47.176,"11","PARTIDO NUEVA RUTA DE HONDURAS",0
"HN.5.1.1.254.4525_PRE",142,134,8,47.176,"13","PARTIDO LIBERACION DEMOCRATICO DE HONDURAS",0
"HN.5.1.1.254.4525_PRE",142,134,8,47.176,"14","PARTIDO TODOS SOMOS HONDURAS",0
"HN.5.1.1.254.4525_PRE",142,134,8,47.176,"2","PARTIDO NACIONAL DE HONDURAS",33
"HN.5.1.1.254.4525_PRE",142,134,8,47.176,"4","PARTIDO DEMOCRATA CRISTIANO DE HONDURAS",0
"HN.5.1.1.254.4525_PRE",142,134,8,47.176,"45","MOVIMIENTO INDEPENDIENTE DIGNIDAD Y ESPERANZA",0
"HN.5.1.1.254.4525_PRE",142,134,8,47.176,"47","MILTON BENITEZ HONDURAS HUMANA",1
"HN.5.1.1.254.4525_PRE",142,134,8,47.176,"5","PARTIDO UNIFICACION DEMOCRATICA",0
"HN.5.1.1.254.4525_PRE",142,134,8,47.176,"58","UNIDAD NACIONAL OPOSITORA DE HONDURAS",0
"HN.5.1.1.254.4525_PRE",142,134,8,47.176,"6","PARTIDO ANTICORRUPCION",1
"HN.5.1.1.254.4525_PRE",142,134,8,47.176,"7","PARTIDO LIBERTAD Y REFUNDACION",80
"HN.5.1.1.254.4525_PRE",142,134,8,47.176,"8","PARTIDO ALIANZA PATRIOTICA HONDUREÑA",0
"HN.5.1.1.254.4525_PRE",142,134,8,47.176,"9","PARTIDO FRENTE AMPLIO (EL FRENTE)",0
"HN.5.1.1.254.4525_PRE",142,134,8,47.176,"BLC","Voto en BLANCO",1
"HN.5.1.1.254.4525_PRE",142,134,8,47.176,"NUL","Votos NULOS",8
"HN.5.1.1.254.4526_PRE",161,157,4,53.8205,"1","PARTIDO LIBERAL DE HONDURAS",22
"HN.5.1.1.254.4526_PRE",161,157,4,53.8205,"10","PARTIDO DE CENTRO SOCIAL CRISTIANO VA; MOVIMIENTO SOLIDARIO",0
"HN.5.1.1.254.4526_PRE",161,157,4,53.8205,"11","PARTIDO NUEVA RUTA DE HONDURAS",0
"HN.5.1.1.254.4526_PRE",161,157,4,53.8205,"13","PARTIDO LIBERACION DEMOCRATICO DE HONDURAS",0
"HN.5.1.1.254.4526_PRE",161,157,4,53.8205,"14","PARTIDO TODOS SOMOS HONDURAS",0
"HN.5.1.1.254.4526_PRE",161,157,4,53.8205,"2","PARTIDO NACIONAL DE HONDURAS",42
"HN.5.1.1.254.4526_PRE",161,157,4,53.8205,"4","PARTIDO DEMOCRATA CRISTIANO DE HONDURAS",0
"HN.5.1.1.254.4526_PRE",161,157,4,53.8205,"45","MOVIMIENTO INDEPENDIENTE DIGNIDAD Y ESPERANZA",0
"HN.5.1.1.254.4526_PRE",161,157,4,53.8205,"47","MILTON BENITEZ HONDURAS HUMANA",0
"HN.5.1.1.254.4526_PRE",161,157,4,53.8205,"5","PARTIDO UNIFICACION DEMOCRATICA",0
"HN.5.1.1.254.4526_PRE",161,157,4,53.8205,"58","UNIDAD NACIONAL OPOSITORA DE HONDURAS",0
"HN.5.1.1.254.4526_PRE",161,157,4,53.8205,"6","PARTIDO ANTICORRUPCION",0
"HN.5.1.1.254.4526_PRE",161,157,4,53.8205,"7","PARTIDO LIBERTAD Y REFUNDACION",93
"HN.5.1.1.254.4526_PRE",161,157,4,53.8205,"8","PARTIDO ALIANZA PATRIOTICA HONDUREÑA",0
"HN.5.1.1.254.4526_PRE",161,157,4,53.8205,"9","PARTIDO FRENTE AMPLIO (EL FRENTE)",0
"HN.5.1.1.254.4526_PRE",161,157,4,53.8205,"BLC","Voto en BLANCO",0
"HN.5.1.1.254.4526_PRE",161,157,4,53.8205,"NUL","Votos NULOS",4
"HN.5.1.1.254.4527_PRE",146,139,7,49,"1","PARTIDO LIBERAL DE HONDURAS",20
"HN.5.1.1.254.4527_PRE",146,139,7,49,"10","PARTIDO DE CENTRO SOCIAL CRISTIANO VA; MOVIMIENTO SOLIDARIO",0
"HN.5.1.1.254.4527_PRE",146,139,7,49,"11","PARTIDO NUEVA RUTA DE HONDURAS",0
"HN.5.1.1.254.4527_PRE",146,139,7,49,"13","PARTIDO LIBERACION DEMOCRATICO DE HONDURAS",0
"HN.5.1.1.254.4527_PRE",146,139,7,49,"14","PARTIDO TODOS SOMOS HONDURAS",0
"HN.5.1.1.254.4527_PRE",146,139,7,49,"2","PARTIDO NACIONAL DE HONDURAS",26
"HN.5.1.1.254.4527_PRE",146,139,7,49,"4","PARTIDO DEMOCRATA CRISTIANO DE HONDURAS",1
"HN.5.1.1.254.4527_PRE",146,139,7,49,"45","MOVIMIENTO INDEPENDIENTE DIGNIDAD Y ESPERANZA",0
"HN.5.1.1.254.4527_PRE",146,139,7,49,"47","MILTON BENITEZ HONDURAS HUMANA",0
"HN.5.1.1.254.4527_PRE",146,139,7,49,"5","PARTIDO UNIFICACION DEMOCRATICA",0
"HN.5.1.1.254.4527_PRE",146,139,7,49,"58","UNIDAD NACIONAL OPOSITORA DE HONDURAS",0
